sku,category,name,brand,model,description,specifications,price,stock,isActive
REP-RAM-001,componente,Memoria RAM Laptop DDR3 4GB 1333MHz,Kingston,DDR3-4GB,"Memoria RAM DDR3 para laptop, compatible con múltiples modelos","{""type"": ""ram"", ""capacity"": ""4GB"", ""interface"": ""DDR3"", ""speed"": ""1333MHz"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus"", ""Toshiba""]}",90,2,True
REP-RAM-002,componente,Memoria RAM Laptop DDR3 8GB 1600MHz,Kingston,DDR3-8GB,Memoria RAM DDR3 de alto rendimiento para laptop,"{""type"": ""ram"", ""capacity"": ""8GB"", ""interface"": ""DDR3"", ""speed"": ""1600MHz"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus"", ""Toshiba""]}",240,1,True
REP-RAM-003,componente,Memoria RAM Laptop DDR3L 8GB 12800MHz,Kingston,DDR3L-8GB,Memoria RAM DDR3L bajo voltaje para laptop,"{""type"": ""ram"", ""capacity"": ""8GB"", ""interface"": ""DDR3L"", ""speed"": ""12800MHz"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",150,2,True
REP-RAM-004,componente,Memoria RAM Laptop DDR4 4GB 3200MHz,Kingston,DDR4-4GB,Memoria RAM DDR4 para laptops modernas,"{""type"": ""ram"", ""capacity"": ""4GB"", ""interface"": ""DDR4"", ""speed"": ""3200MHz"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",95,1,True
REP-RAM-005,componente,Memoria RAM Laptop DDR4 8GB 3200MHz,Kingston,DDR4-8GB,Memoria RAM DDR4 de alto rendimiento,"{""type"": ""ram"", ""capacity"": ""8GB"", ""interface"": ""DDR4"", ""speed"": ""3200MHz"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",150,1,True
REP-RAM-006,componente,Memoria RAM Laptop DDR4 16GB 3200MHz,Kingston,DDR4-16GB,Memoria RAM DDR4 para edición y gaming,"{""type"": ""ram"", ""capacity"": ""16GB"", ""interface"": ""DDR4"", ""speed"": ""3200MHz"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",210,2,True
REP-RAM-007,componente,Memoria RAM Laptop DDR5 16GB 4800MHz,Kingston,DDR5-16GB,Memoria RAM DDR5 última generación,"{""type"": ""ram"", ""capacity"": ""16GB"", ""interface"": ""DDR5"", ""speed"": ""4800MHz"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",280,0,True
REP-RAM-008,componente,Memoria RAM PC DDR3 4GB 1600MHz,TeamGroup,Elite Plus DDR3,Memoria RAM DDR3 para computadora de escritorio,"{""type"": ""ram"", ""capacity"": ""4GB"", ""interface"": ""DDR3"", ""speed"": ""1600MHz"", ""compatibleWith"": [""PC""]}",150,1,True
REP-RAM-009,componente,Memoria RAM PC DDR3 8GB 1600MHz,Kingston,DDR3-8GB-PC,Memoria RAM DDR3 8GB para PC de escritorio,"{""type"": ""ram"", ""capacity"": ""8GB"", ""interface"": ""DDR3"", ""speed"": ""1600MHz"", ""compatibleWith"": [""PC""]}",220,1,True
REP-RAM-010,componente,Memoria RAM PC DDR4 4GB 2400MHz,Kingston,DDR4-4GB-PC,Memoria RAM DDR4 para PC de escritorio,"{""type"": ""ram"", ""capacity"": ""4GB"", ""interface"": ""DDR4"", ""speed"": ""2400MHz"", ""compatibleWith"": [""PC""]}",120,1,True
REP-RAM-011,componente,Memoria RAM PC DDR4 8GB 3200MHz,Kingston,Fury Beast 8GB,Memoria RAM DDR4 de alto rendimiento para gaming,"{""type"": ""ram"", ""capacity"": ""8GB"", ""interface"": ""DDR4"", ""speed"": ""3200MHz"", ""compatibleWith"": [""PC""]}",160,2,True
REP-RAM-012,componente,Memoria RAM PC DDR4 16GB 3200MHz,APECER,DDR4-16GB-PC,Memoria RAM DDR4 16GB para estaciones de trabajo,"{""type"": ""ram"", ""capacity"": ""16GB"", ""interface"": ""DDR4"", ""speed"": ""3200MHz"", ""compatibleWith"": [""PC""]}",250,1,True
REP-SSD-001,componente,SSD 240GB SATA Kingston,Kingston,A400 240GB,"Disco estado sólido SATA 2.5 pulgadas, ideal para upgrade","{""type"": ""disco"", ""capacity"": ""240GB"", ""interface"": ""SATA III"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus"", ""Toshiba""]}",160,4,True
REP-SSD-002,componente,SSD 480GB SATA Kingston A400,Kingston,A400 480GB,Disco estado sólido SATA 2.5 pulgadas de alta capacidad,"{""type"": ""disco"", ""capacity"": ""480GB"", ""interface"": ""SATA III"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus"", ""Toshiba""]}",220,1,True
REP-SSD-003,componente,SSD 250GB M.2 NVMe Kingston NV2,Kingston,NV2 250GB,Disco NVMe M.2 de alta velocidad,"{""type"": ""disco"", ""capacity"": ""250GB"", ""interface"": ""M.2 NVMe PCIe"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",190,1,True
REP-SSD-004,componente,SSD 500GB M.2 NVMe Kingston NV2,Kingston,NV2 500GB,Disco NVMe M.2 ideal para sistema operativo y programas,"{""type"": ""disco"", ""capacity"": ""500GB"", ""interface"": ""M.2 NVMe PCIe"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",250,2,True
REP-SSD-005,componente,SSD 960GB Kingston A400,Kingston,A400 960GB,Disco estado sólido de gran capacidad para almacenamiento,"{""type"": ""disco"", ""capacity"": ""960GB"", ""interface"": ""SATA III"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus"", ""Toshiba""]}",400,1,True
REP-SSD-006,componente,SSD 1TB M.2 NVMe Kingston NV3,Kingston,NV3 1TB,Disco NVMe de última generación para máximo rendimiento,"{""type"": ""disco"", ""capacity"": ""1TB"", ""interface"": ""M.2 NVMe PCIe"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",310,1,True
REP-SSD-007,componente,Disco HDD 1TB interno para Laptop,Toshiba,MQ04ABF100,Disco duro mecánico 2.5 pulgadas para laptop,"{""type"": ""disco"", ""capacity"": ""1TB"", ""interface"": ""SATA III 2.5\"""", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus"", ""Toshiba""]}",200,0,True
REP-SSD-008,componente,Disco Externo 1TB USB 3.0,Toshiba,Canvio Basics 1TB,Disco externo portátil USB 3.0 para respaldos,"{""type"": ""disco"", ""capacity"": ""1TB"", ""interface"": ""USB 3.0"", ""compatibleWith"": [""PC"", ""laptop""]}",260,0,True
REP-CPU-001,componente,Procesador Intel Core i3 7ma Generación,Intel,i3-7100,Procesador de escritorio 7ma generación,"{""type"": ""procesador"", ""generation"": ""7ma"", ""socket"": ""LGA1151"", ""cores"": ""2"", ""threads"": ""4""}",250,3,True
REP-CPU-002,componente,Procesador Intel Core i3 9na 3.60GHz,Intel,i3-9100,"Procesador de escritorio 9na generación, 6MB Caché","{""type"": ""procesador"", ""generation"": ""9na"", ""socket"": ""LGA1151"", ""cores"": ""4"", ""threads"": ""4""}",580,1,True
REP-CPU-003,componente,Procesador Intel Core i5 10400 10ma,Intel,i5-10400,Procesador 10ma generación con gráficos integrados,"{""type"": ""procesador"", ""generation"": ""10ma"", ""socket"": ""LGA1200"", ""cores"": ""6"", ""threads"": ""12""}",650,1,True
REP-BAT-001,componente,Batería Laptop HP Externa OA04,HP,OA04,"Batería externa compatible con HP 240 G2/G3, 14-R, 15-R","{""type"": ""bateria"", ""compatibleWith"": [""HP""], ""voltage"": ""14.8V""}",130,3,True
REP-BAT-002,componente,Batería Laptop HP Externa JC04,HP,JC04,"Batería externa compatible con HP 240 G6, 250 G6, 14-BS, 15-BS","{""type"": ""bateria"", ""compatibleWith"": [""HP""], ""voltage"": ""14.6V""}",130,2,True
REP-BAT-003,componente,Batería Laptop HP Interna HT03XL,HP,HT03XL,"Batería interna compatible con HP 14-CE, 14-CF, 15-CS, 15-DA","{""type"": ""bateria"", ""compatibleWith"": [""HP""], ""voltage"": ""11.4V""}",190,1,True
REP-BAT-004,componente,Batería Laptop Lenovo B50-80,Lenovo,L13L4A01,"Batería externa para Lenovo B40, B50, B51 series","{""type"": ""bateria"", ""compatibleWith"": [""Lenovo""], ""voltage"": ""14.4V""}",130,1,True
REP-BAT-005,componente,Batería Laptop Lenovo G480/Y580,Lenovo,L11S6Y01,"Batería para Lenovo G480, G580, Y480, Y580 series","{""type"": ""bateria"", ""compatibleWith"": [""Lenovo""], ""voltage"": ""10.8V""}",130,3,True
REP-BAT-006,componente,Batería Laptop Dell M5Y1K,Dell,M5Y1K,"Batería para Dell Inspiron 3451, 3551, 5558, Vostro 3458","{""type"": ""bateria"", ""compatibleWith"": [""Dell""], ""voltage"": ""14.8V""}",130,1,True
REP-BAT-007,componente,Batería Laptop Toshiba PA5185,Toshiba,PA5185U-1BRS,"Batería para Toshiba Satellite L45, L55, C50, C55 series","{""type"": ""bateria"", ""compatibleWith"": [""Toshiba""], ""voltage"": ""14.8V""}",130,3,True
REP-BAT-008,componente,Batería Laptop Acer Interna AP19B8K,Acer,AP19B8K,Batería interna para Acer Aspire 3 A315-57 series,"{""type"": ""bateria"", ""compatibleWith"": [""Acer""], ""voltage"": ""11.25V""}",210,1,True
REP-TEC-001,componente,Teclado Laptop HP 14-BS,HP,14-BS,"Teclado interno para HP 14-BS, enter rectangular, negro","{""type"": ""teclado"", ""compatibleWith"": [""HP""], ""size"": ""14\""""}",90,1,True
REP-TEC-002,componente,Teclado Laptop HP 15-DA,HP,15-DA,"Teclado interno para HP 15-DA, 15-DB, 250 G7 series","{""type"": ""teclado"", ""compatibleWith"": [""HP""], ""size"": ""15.6\""""}",120,1,True
